Title,Duration,Budget,Reviews_by_Users,IMDB_Score,Gross_Earnings
Mad Money,104,22000000,54,5.8,20668843
A Prairie Home Companion,105,10000000,280,6.8,20338609
Wristcutters: A Love Story,88,1000000,88,7.4,104077
High Heels and Low Lifes,86,10000000,44,6.2,226792
Legally Blonde,96,18000000,548,6.2,95001351
The Watcher,97,33000000,181,5.3,28927720
The Mist,126,18000000,1066,7.2,25592632
Ararat,115,15500000,180,6.6,1554566
Into the Wild,148,15000000,760,8.2,18352454
The Squid and the Whale,88,1500000,232,7.4,7362100
Garden State,102,2500000,978,7.6,26781723
All the Queen's Men,105,25000000,40,4.5,22723
My Name Is Bruce,84,1500000,88,6.3,173066
Stardust,127,70000000,492,7.7,38345403
Saw,103,1200000,1509,7.7,55153403
The Perfect Storm,130,140000000,779,6.4,182618434
The Curse of the Jade Scorpion,103,26000000,178,6.8,7496522
Daddy Day Care,92,60000000,116,5.5,104148781
Repo! The Genetic Opera,150,8500000,259,6.7,140244
White Chicks,109,37000000,251,5.4,69148997
Sexy Beast,89,4300000,346,7.3,6940281
Iron Man,126,140000000,1055,7.9,318298180
Two Brothers,109,59660000,124,7.1,18947630
Nutty Professor II: The Klumps,109,65000000,171,4.3,123307945
Morvern Callar,97,6000000,111,6.7,267194
Town & Country,104,90000000,89,4.4,6712451
O,95,5000000,153,6.2,16017403
Eye of the Dolphin,100,2500000,18,5.7,71904
Layer Cake,105,4000000,263,7.4,2338695
Cast Away,143,90000000,1051,7.7,233630478
Sydney White,108,16500000,50,6.3,11702090
Capitalism: A Love Story,105,20000000,188,7.4,14359793
Saved!,92,5000000,324,6.9,8786715
The League of Extraordinary Gentlemen,110,78000000,786,5.8,66462600
Crocodile Dundee in Los Angeles,92,21150000,119,4.8,25590119
The Lizzie McGuire Movie,94,17000000,172,5.3,42672630
Charlotte's Web,97,85000000,102,6.4,82506325
In the Valley of Elah,121,23000000,224,7.2,6777589
Donnie Darko,133,4500000,2110,8.1,727883
Bandslam,111,20000000,39,6.4,5205343
Mystic River,138,25000000,935,8,90135191
Idiocracy,84,2400000,434,6.6,438653
Barbershop 2: Back in Business,106,18000000,69,5.7,64955956
Fascination,103,5000000,44,3.3,16066
How the Grinch Stole Christmas,110,123000000,482,6,260031035
Grandma's Boy,90,5000000,202,7,6088249
Love Actually,129,45000000,1004,7.7,59365105
Eternal Sunshine of the Spotless Mind,108,20000000,1514,8.3,34126138
The Work and the Glory II: American Zion,100,6500000,21,6.6,2024854
The Invention of Lying,100,18500000,287,6.4,18439082
Marci X,80,20000000,66,2.8,1646664
Nowhere Boy,98,1900000,75,7.2,1445366
Femme Fatale,114,35000000,232,6.3,6592103
I Think I Love My Wife,94,11000000,55,5.5,12550242
Gangster's Paradise: Jerusalema,119,2000000,23,7.8,4958
Cellular,94,25000000,355,6.5,32003620
The Ring Two,128,50000000,560,5.4,75888270
The Salon,90,1500000,5,4.3,92362
Time Changer,95,825000,158,5.6,15278
Oceans,104,40000000,42,7.8,19406406
City of Ember,90,55000000,102,6.5,7871693
Ice Age,103,59000000,467,7.6,176387405
The Blue Butterfly,97,12500000,28,6.3,1775619
Fish Tank,123,3000000,112,7.3,373060
The Curse of the Were-Rabbit,85,30000000,307,7.5,56068547
Brothers,105,26000000,201,7.1,28501651
Like Mike,99,30000000,72,5.1,51432423
King's Ransom,95,15000000,20,4.1,4006906
The Legend of Bagger Vance,126,60000000,267,6.7,30695227
Rent,135,40000000,754,7,29077547
Moon,97,5000000,485,7.9,5009677
Deuce Bigalow: European Gigolo,83,22000000,166,4.6,22264487
Big Momma's House 2,99,40000000,82,4.6,70163652
Into the Blue,110,50000000,208,5.8,18472363
The Rookie,127,20000000,174,7,75597042
Pontypool,95,1500000,142,6.7,3478
The Bourne Identity,119,60000000,849,7.9,121468960
All Hat,89,5000000,8,5.3,15198
Beyond the Sea,118,23000000,248,6.7,6144806
Dodgeball: A True Underdog Story,92,20000000,392,6.7,114324072
Poultrygeist: Night of the Chicken Dead,103,500000,58,6.2,23000
The One,85,49000000,294,5.9,43905746
Unleashed,103,45000000,303,7,24520892
