Title,Duration,Budget,Reviews_by_Users,IMDB_Score,Gross_Earnings
Thirteen Conversations About One Thing,104,4500000,115,7.1,3287435
Tomcats,95,11000000,121,5.3,13558739
Town & Country,104,90000000,89,4.4,6712451
Training Day,122,45000000,633,7.7,76261036
Two Can Play That Game,90,6000000,31,6.1,22235901
Valentine,96,10000000,371,4.7,20384136
Vanilla Sky,141,68000000,1248,6.9,100614858
Wasabi,94,15300000,91,6.6,81525
What's the Worst That Could Happen?,94,45000000,84,5.5,32095318
Winged Migration,81,160000000,153,8,10762178
Y Tu Mamá También,106,2000000,385,7.7,13622333
Zoolander,90,28000000,523,6.6,45162741
25th Hour,108,15000000,454,7.7,13060843
28 Days Later...,113,8000000,1441,7.6,45063889
40 Days and 40 Nights,96,17000000,207,5.6,37939782
8 Mile,110,41000000,564,7,116724075
8 Women,111,8000000,162,7.1,3076425
A Walk to Remember,101,11000000,962,7.4,41227069
Abandon,99,25000000,157,4.9,10719367
About a Boy,101,30000000,391,7.1,40566655
About Schmidt,125,30000000,612,7.2,65010106
Adaptation.,81,19000000,710,7.7,22245861
All About the Benjamins,95,14000000,33,5.7,25482931
All or Nothing,121,9000000,94,7.6,112935
Amen.,132,103000000,55,7.3,274299
Analyze That,96,60000000,138,5.9,32122249
Antwone Fisher,117,12500000,159,7.3,21078145
Ararat,115,15500000,180,6.6,1554566
Austin Powers in Goldmember,94,63000000,795,6.2,213079163
Auto Focus,105,7000000,147,6.6,2062066
Bad Company,116,70000000,189,5.6,30157016
Ballistic: Ecks vs. Sever,91,70000000,277,3.6,14294842
Barbershop,102,12000000,156,6.3,75074950
Bend It Like Beckham,112,3500159,438,6.7,32541719
Better Luck Tomorrow,98,250000,138,7.2,3799339
Big Fat Liar,88,15000000,99,5.4,47811275
Big Trouble,74,40000000,186,6.5,7262288
Blade II,117,54000000,559,6.7,81645152
Blood Work,110,50000000,260,6.4,26199517
Bloody Sunday,107,2000000,120,7.7,768045
Blue Car,88,1000000,68,6.7,464126
Blue Crush,104,30000000,216,5.6,40118420
Boat Trip,97,20000000,132,4.9,8586376
Bowling for Columbine,120,4000000,888,8,21244913
Brown Sugar,109,8000000,60,6.5,27362712
Bubba Ho-Tep,92,1000000,366,7.2,1492895
Catch Me If You Can,141,52000000,667,8,164435221
Changing Lanes,91,45000000,350,6.5,66790248
Chicago,113,45000000,1017,7.2,170684505
City by the Sea,108,60000000,166,6.2,22433915
City of Ghosts,116,17500000,67,6,325491
Civil Brand,91,500000,24,5.3,243347
Clockstoppers,94,26000000,94,5.2,36985501
Collateral Damage,108,85000000,339,5.5,40048332
Confessions of a Dangerous Mind,113,29000000,276,7.1,33013805
Crop Circles: Quest for Truth,115,750000,13,7,11562
Crossroads,93,12000000,578,3.3,37188667
